name,level,hp,ac,fortitude,reflex,will,attack_bonus,spell_dc,spell_attack_bonus
Aapoph Granitescale,6,120,24,+16,+14,+11,"+16, +17, +17",,
Aapoph Serpentfolk,3,60,18,+10,+7,+6,"+11, +11, +11",,
Aasimar Redeemer,5,73,23,+12,+8,+11,"+12, +15","20, 20",
Abandoned Zealot,6,75 ( negative healing ),22,+10,+14,+16,+16,24,
Abrikandilu,4,70,19,+15,+9,+7,"+11, +14, +14",20,
Abysium Horror,10,215,29,+21,+19,+17,"+23, +23",,
Acolyte of Nethys,1,16,15,+2,+5,+9,"+4, +5","17, 17",9
Acrobat,2,28,18,+8,+12,+4,"+10, +10, +11",,
Adachros,13,225,34,+24,+21,+26,"+27, +27",33,
Adamantine Golem,18,255 (repair mode),42,+33,+27,+29,+35,,
Adept,-1,8,14,+2,+4,+6,"+6, +6",14,
Adhukait,7,130,25,+15,+17,+13,"+18, +18",,
Adlet,10,180,30,+20,+22,+16,"+19, +20, +21",,
Adult Adamantine Dragon,13,220,33,+25,+20,+23,"+25, +25, +27, +27",,
Adult Black Dragon,11,215,31,+23,+18,+21,"+23, +23, +25, +25",30,
Adult Blue Dragon,13,260,34,+24,+23,+23,"+25, +25, +27, +27",33,
Adult Brass Dragon,11,215,31,+22,+20,+21,"+22, +24, +24",30,
Adult Brine Dragon,12,222,33,+25,+20,+21,"+24, +24, +26, +26",32,24
Adult Bronze Dragon,13,260,34,+24,+23,+26,"+26, +28, +28",33,
Adult Cloud Dragon,14,254,36,+26,+23,+26,"+27, +27, +29, +29",36,
Adult Conspirator Dragon,12,215,33,+20,+21,+25,"+23, +25, +25, +25",32,
Adult Copper Dragon,12,235,33,+23,+22,+22,"+24, +26, +26",33,
Adult Crystal Dragon,11,185,33,+24,+19,+20,"+22, +24, +24",30,
Adult Diabolic Dragon,15,285,36,+29,+25,+26,"+28, +30, +30",34,26
Adult Empyreal Dragon,14,250,36,+24,+24,+26,"+26, +26, +28, +28",34,26
Adult Forest Dragon,14,290,36,+25,+22,+27,"+29, +29, +29",34,
Adult Fortune Dragon,14,230,36,+24,+27,+24,"+25, +27, +27",36,28
Adult Gold Dragon,15,330,38,+28,+25,+28,"+28, +28, +30, +30",35,
Adult Green Dragon,12,215,34,+20,+22,+23,"+24, +24, +26, +26",32,
Adult Horned Dragon,12,215,34,+20,+22,+23,"+24, +24, +26, +26",32,
